物件名,家賃,最寄り駅,間取り,築年数,特徴
サンシャインマンション301号室,7.5万円,渋谷駅徒歩8分,1LDK（35㎡）,築5年,ペット可、オートロック、宅配ボックス、南向きバルコニー
グランドパレス202号室,6.8万円,新宿駅徒歩12分,1K（25㎡）,築3年,駅近、コンビニ徒歩1分、Wi-Fi完備、女性専用
パークヒルズ505号室,8.2万円,表参道駅徒歩6分,1LDK（40㎡）,新築,デザイナーズ、屋上庭園、24時間セキュリティ
エスペラント駅前103号室,5.9万円,池袋駅徒歩5分,1R（20㎡）,築8年,駅直結、コインランドリー24h、家具付き
メゾンドール402号室,9.1万円,恵比寿駅徒歩10分,2DK（45㎡）,築7年,角部屋、バストイレ別、エアコン2台
ライオンズマンション201号室,7.8万円,中目黒駅徒歩15分,1LDK（38㎡）,築4年,リノベ済、フローリング、追い焚き機能
スカイハイツ601号室,11.2万円,六本木駅徒歩8分,2LDK（55㎡）,築10年,最上階、夜景絶景、コンシェルジュ
アーバンコート302号室,6.2万円,高田馬場駅徒歩7分,1K（22㎡）,築2年,学生歓迎、インターネット無料、防音完備
グリーンパーク102号室,8.5万円,自由が丘駅徒歩12分,1LDK（42㎡）,築6年,ガーデニング可、ペット可、駐輪場無料
フォレストヴィラ304号室,7.3万円,下北沢駅徒歩9分,1DK（30㎡）,築5年,楽器演奏可、クリエイター向け、24h入退館